,size_bytes,height,width,framespersecond,duration,i_frame,b_frame,p_frame,channel_s,frame_count,proportion_of_this_stream,stream_size,len_text,bit_rate_mode_cbr,bit_rate_mode_vbr,channel_layout_c,channel_layout_l_r,channel_positions_front_c,channel_positions_front_l_r,other_bit_rate_mode_constant,other_bit_rate_mode_variable,bitrate
39,37981092.0,720.0,1280.0,25,311.32,101,3631,4051,2,13410,0.13118,4982182,988,1,0,0,1,0,1,1,0,975
40,30256126.0,720.0,1280.0,25,311.32,92,3544,4147,2,13410,0.16467,4982182,1495,1,0,0,1,0,1,1,0,777
41,38980083.0,720.0,1280.0,25,311.32,96,3597,4090,2,13410,0.12780999999999998,4982203,1020,1,0,0,1,0,1,1,0,1001
42,36550256.0,720.0,1280.0,25,311.32,93,3831,3859,2,13410,0.13631,4982215,1136,1,0,0,1,0,1,1,0,939
43,40036682.0,720.0,1280.0,25,311.32,97,3498,4188,2,13410,0.12444,4982145,724,1,0,0,1,0,1,1,0,1028
44,44469953.0,720.0,1280.0,25,311.32,111,3474,4198,2,13410,0.11203,4982073,1473,1,0,0,1,0,1,1,0,1142
45,30455297.0,720.0,1280.0,25,310.96,95,3644,4035,2,13394,0.16032000000000002,4882623,803,1,0,0,1,0,1,1,0,783
46,18946984.0,720.0,1280.0,25,305.4,96,4041,3498,2,13155,0.25795,4887336,1528,1,0,0,1,0,1,1,0,496
47,42447071.0,720.0,1280.0,25,311.32,104,3829,3850,2,13410,0.11737,4982073,617,1,0,0,1,0,1,1,0,1090
48,32243711.0,720.0,1280.0,25,311.32,99,3750,3934,2,13410,0.1516,4888203,785,1,0,0,1,0,1,1,0,828
49,34258889.0,720.0,1280.0,25,310.6,93,3578,4094,2,13379,0.14235,4876903,1046,1,0,0,1,0,1,1,0,882
50,49279602.0,720.0,1280.0,25,311.32,140,2110,5533,2,13410,0.1011,4982073,1136,1,0,0,1,0,1,1,0,1266
51,44996384.0,720.0,1280.0,25,311.32,110,2545,5128,2,13410,0.11072,4982073,880,1,0,0,1,0,1,1,0,1156
52,17990418.0,720.0,1280.0,25,311.36,96,3960,3728,2,13410,0.27695,4982357,1008,0,1,0,1,0,1,0,1,462
